epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,4353.05,0.68464,0.71032,1.14642,0.89633,0.55159,0.69375,0.42618,1.47998,1.99672,1.93929,0.000528058,0.000528058,0.000528058
55,4431.22,0.70089,0.69177,1.13836,0.62842,0.67149,0.69229,0.41022,1.6001,2.04666,2.03244,0.000517059,0.000517059,0.000517059
56,4506.97,0.63153,0.61136,1.05919,0.86861,0.67026,0.77387,0.44042,1.60393,1.57691,2.11188,0.00050606,0.00050606,0.00050606
57,4582.75,0.62906,0.56995,1.06456,0.79713,0.73665,0.80803,0.44748,1.56473,1.44211,2.05004,0.000495062,0.000495062,0.000495062
58,4658.71,0.61384,0.58128,1.07302,0.74939,0.78164,0.81316,0.45457,1.61405,1.41906,2.16181,0.000484063,0.000484063,0.000484063
59,4734.9,0.6892,0.61929,1.10552,0.66154,0.80161,0.78113,0.45161,1.55182,1.34002,2.11548,0.000473064,0.000473064,0.000473064
60,4811.05,0.66481,0.58468,1.10798,0.67289,0.79654,0.77352,0.45095,1.51634,1.37234,2.0852,0.000462065,0.000462065,0.000462065
61,4886.47,0.59222,0.57967,1.06136,0.7475,0.73923,0.75689,0.4357,1.54622,1.47548,2.15674,0.000451066,0.000451066,0.000451066
62,4962.37,0.62366,0.57602,1.07772,0.83841,0.69176,0.76051,0.41849,1.61676,1.39982,2.31558,0.000440067,0.000440067,0.000440067
63,5038.4,0.59732,0.57777,1.0495,0.85265,0.72792,0.77963,0.44086,1.65283,1.38732,2.29608,0.000429068,0.000429068,0.000429068
64,5113.99,0.60459,0.57376,1.05932,0.87656,0.70051,0.75759,0.42632,1.66264,1.42239,2.29347,0.000418069,0.000418069,0.000418069
65,5189.56,0.552,0.53577,1.00653,0.83362,0.7081,0.76907,0.41822,1.64984,1.36018,2.27805,0.00040707,0.00040707,0.00040707
66,5265.18,0.59174,0.69696,1.05875,0.68218,0.71837,0.73957,0.43033,1.54757,1.40822,2.11696,0.000396071,0.000396071,0.000396071
67,5340.76,0.56372,0.52011,1.06256,0.70765,0.69077,0.75289,0.45126,1.48854,1.39371,2.04851,0.000385073,0.000385073,0.000385073
68,5416.54,0.67381,0.65196,1.13337,0.78229,0.67088,0.76664,0.48705,1.43706,1.28111,2.00849,0.000374074,0.000374074,0.000374074
69,5491.69,0.59261,0.54017,1.10781,0.8858,0.62594,0.79156,0.51013,1.39075,1.22117,2.00023,0.000363075,0.000363075,0.000363075
70,5567.34,0.54918,0.51291,1.02482,0.76607,0.76742,0.79248,0.50134,1.42469,1.25585,2.06432,0.000352076,0.000352076,0.000352076
71,5643.62,0.55374,0.53715,1.04634,0.89042,0.65282,0.75897,0.47763,1.43591,1.35667,2.05556,0.000341077,0.000341077,0.000341077
72,5719.53,0.53251,0.5342,1.04877,0.86009,0.62238,0.75579,0.49489,1.45128,1.43162,2.05452,0.000330078,0.000330078,0.000330078
73,5794.76,0.53632,0.58955,1.00897,0.87952,0.62238,0.74733,0.4853,1.42178,1.41546,2.03095,0.000319079,0.000319079,0.000319079
74,5870.6,0.49602,0.4466,0.98855,0.70784,0.73612,0.75658,0.48832,1.42823,1.3293,2.03093,0.00030808,0.00030808,0.00030808
75,5946.24,0.51857,0.47748,0.99136,0.74626,0.77435,0.76091,0.48893,1.46445,1.36327,2.02192,0.000297081,0.000297081,0.000297081
76,6021.82,0.4946,0.45245,0.98824,0.93377,0.63362,0.76869,0.48406,1.48312,1.35995,2.04071,0.000286083,0.000286083,0.000286083
77,6097.01,0.52622,0.50472,1.00141,0.80378,0.66538,0.75554,0.48637,1.4677,1.32599,2.04271,0.000275084,0.000275084,0.000275084
78,6173.52,0.54318,0.47854,1.03507,0.86081,0.65837,0.76365,0.48773,1.48774,1.36463,2.06523,0.000264085,0.000264085,0.000264085
79,6250.67,0.47476,0.44052,1.01269,0.81527,0.69539,0.75917,0.47276,1.49595,1.32898,2.07496,0.000253086,0.000253086,0.000253086
80,6327.38,0.52663,0.47168,1.00771,0.83206,0.67683,0.75501,0.47728,1.47872,1.35977,2.08446,0.000242087,0.000242087,0.000242087
81,6409.31,0.46816,0.45294,0.98759,0.81271,0.67341,0.77341,0.4833,1.48136,1.33041,2.11562,0.000231088,0.000231088,0.000231088
82,6485.18,0.48832,0.46323,0.99326,0.80982,0.70565,0.79715,0.4898,1.461,1.25556,2.13838,0.000220089,0.000220089,0.000220089
83,6562.15,0.49193,0.46484,1.02223,0.7844,0.77735,0.82937,0.51696,1.46566,1.15406,2.19019,0.00020909,0.00020909,0.00020909
84,6643.52,0.49078,0.45873,1.02389,0.85877,0.78128,0.82889,0.53057,1.47035,1.13483,2.20135,0.000198091,0.000198091,0.000198091
85,6724.81,0.51214,0.47291,1.01327,0.8495,0.7677,0.82372,0.52225,1.51217,1.17491,2.23896,0.000187092,0.000187092,0.000187092
86,6805.8,0.49449,0.48659,1.03533,0.85015,0.75736,0.83183,0.50792,1.53711,1.24337,2.27032,0.000176094,0.000176094,0.000176094
87,6887.13,0.44027,0.40639,0.99808,0.83569,0.79002,0.83112,0.4925,1.57775,1.27352,2.29173,0.000165095,0.000165095,0.000165095
88,6967.68,0.46267,0.4907,0.99335,0.83043,0.7817,0.81166,0.48623,1.58709,1.28578,2.28749,0.000154096,0.000154096,0.000154096
89,7047.14,0.4412,0.38228,1.01088,0.8108,0.78668,0.82288,0.48575,1.58045,1.30217,2.27635,0.000143097,0.000143097,0.000143097
90,7124.69,0.44391,0.43046,0.96442,0.82915,0.79313,0.82362,0.4915,1.52653,1.24112,2.20721,0.000132098,0.000132098,0.000132098
91,7205.62,0.3716,0.43085,0.89972,0.78427,0.78091,0.80065,0.47995,1.49587,1.23523,2.16568,0.000121099,0.000121099,0.000121099
92,7288.2,0.31847,0.3328,0.88685,0.77361,0.74258,0.81131,0.48749,1.50082,1.22108,2.20661,0.0001101,0.0001101,0.0001101
93,7373.44,0.35714,0.34344,0.91502,0.70753,0.76664,0.79469,0.47388,1.52564,1.24682,2.24746,9.91012e-05,9.91012e-05,9.91012e-05
94,7460.87,0.34195,0.33607,0.88382,0.69641,0.75717,0.76661,0.46209,1.54541,1.33844,2.27414,8.81023e-05,8.81023e-05,8.81023e-05
95,7546.52,0.31458,0.29564,0.90454,0.67375,0.73194,0.77113,0.46661,1.53041,1.38977,2.22347,7.71034e-05,7.71034e-05,7.71034e-05
96,7630.17,0.30249,0.28481,0.89057,0.65581,0.75874,0.76802,0.47647,1.50269,1.40713,2.19406,6.61045e-05,6.61045e-05,6.61045e-05
97,7714.02,0.30301,0.29653,0.90814,0.79489,0.66487,0.77234,0.48228,1.49646,1.3847,2.18683,5.51056e-05,5.51056e-05,5.51056e-05
98,7799.78,0.31441,0.29784,0.90458,0.80576,0.66424,0.77563,0.48835,1.49247,1.33985,2.17919,4.41067e-05,4.41067e-05,4.41067e-05
99,7884.06,0.29192,0.26311,0.87827,0.80493,0.65993,0.77005,0.48617,1.49176,1.34223,2.18085,3.31078e-05,3.31078e-05,3.31078e-05
100,7968.01,0.27947,0.27113,0.86643,0.80217,0.66181,0.77014,0.48674,1.49154,1.32974,2.18106,2.21089e-05,2.21089e-05,2.21089e-05
